,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
566,"Cassia County, Idaho","22,952","22,413","18,781",64,178,108,16,"3,266",2010
566,"Caribou County, Idaho","7,027","6,737","6,504",1,50,13,15,154,2020
567,"Cassia County, Idaho","24,655","22,548","17,797",68,256,134,30,"4,263",2020
567,"Clark County, Idaho",982,967,711,7,10,5,0,234,2010
568,"Clearwater County, Idaho","8,761","8,580","8,225",18,194,61,9,73,2010
568,"Clark County, Idaho",790,686,498,10,2,1,0,175,2020
569,"Clearwater County, Idaho","8,734","8,321","7,964",40,149,48,2,118,2020
569,"Custer County, Idaho","4,368","4,324","4,209",8,27,10,4,66,2010
570,"Elmore County, Idaho","27,038","25,919","22,213",733,270,768,105,"1,830",2010
570,"Custer County, Idaho","4,275","4,059","3,942",5,35,17,2,58,2020
571,"Elmore County, Idaho","28,666","25,651","21,488",757,358,800,109,"2,139",2020
571,"Franklin County, Idaho","12,786","12,586","12,064",28,53,15,7,419,2010
572,"Fremont County, Idaho","13,242","13,043","11,855",46,93,29,13,"1,007",2010
572,"Franklin County, Idaho","14,194","13,527","12,908",26,103,30,7,453,2020
573,"Gem County, Idaho","16,719","16,346","15,616",20,94,84,13,519,2010
573,"Fremont County, Idaho","13,388","12,729","11,563",21,94,46,25,980,2020
574,"Gooding County, Idaho","15,464","15,096","12,481",37,127,72,11,"2,368",2010
574,"Gem County, Idaho","19,123","17,691","16,623",30,155,99,27,757,2020
575,"Idaho County, Idaho","16,267","15,959","15,259",42,480,68,7,103,2010
575,"Gooding County, Idaho","15,598","13,768","11,227",29,165,44,7,"2,296",2020
576,"Jefferson County, Idaho","26,140","25,739","23,844",52,203,103,23,"1,514",2010
576,"Idaho County, Idaho","16,541","15,637","14,819",58,441,61,5,253,2020
577,"Jerome County, Idaho","22,374","21,893","17,904",62,302,76,17,"3,532",2010
577,"Jefferson County, Idaho","30,891","29,272","27,092",86,204,124,34,"1,732",2020
578,"Kootenai County, Idaho","138,494","135,172","130,844",416,"1,781",961,129,"1,041",2010
578,"Jerome County, Idaho","24,237","20,942","16,412",48,440,97,22,"3,923",2020
579,"Latah County, Idaho","37,244","36,295","34,557",293,237,781,52,375,2010
579,"Kootenai County, Idaho","171,362","158,839","152,438",522,"1,925","1,420",216,"2,318",2020
580,"Latah County, Idaho","39,517","36,637","34,294",332,315,981,60,655,2020
580,"Lemhi County, Idaho","7,936","7,806","7,654",18,57,30,3,44,2010
581,"Lewis County, Idaho","3,821","3,729","3,450",14,180,17,5,63,2010
581,"Lemhi County, Idaho","7,974","7,598","7,386",19,56,37,6,94,2020
582,"Lincoln County, Idaho","5,208","5,095","4,171",19,38,20,3,844,2010
582,"Lewis County, Idaho","3,533","3,328","3,085",6,184,10,1,42,2020
583,"Lincoln County, Idaho","5,127","4,498","3,594",6,77,10,4,807,2020
583,"Madison County, Idaho","37,536","36,985","35,235",185,99,352,55,"1,059",2010
584,"Minidoka County, Idaho","20,069","19,581","16,091",77,248,88,1,"3,076",2010
584,"Madison County, Idaho","52,913","49,976","45,273",736,244,959,231,"2,533",2020
585,"Nez Perce County, Idaho","39,265","38,290","35,390",117,"2,206",279,37,261,2010
585,"Minidoka County, Idaho","21,613","19,113","14,591",39,282,63,20,"4,118",2020
586,"Oneida County, Idaho","4,286","4,242","4,144",9,22,20,1,46,2010
586,"Nez Perce County, Idaho","42,090","39,520","36,104",193,"2,445",334,33,411,2020
587,"Oneida County, Idaho","4,564","4,401","4,313",3,17,16,4,48,2020
587,"Owyhee County, Idaho","11,526","11,254","8,757",23,495,62,1,"1,916",2010
588,"Payette County, Idaho","22,623","21,984","20,053",52,255,189,16,"1,419",2010
588,"Owyhee County, Idaho","11,913","10,641","8,686",30,421,45,10,"1,449",2020
589,"Payette County, Idaho","25,386","22,758","20,431",66,330,226,35,"1,670",2020
589,"Power County, Idaho","7,817","7,630","5,867",22,179,32,7,"1,523",2010
590,"Power County, Idaho","7,878","7,169","5,183",20,222,18,11,"1,715",2020
590,"Shoshone County, Idaho","12,765","12,510","12,174",26,183,47,12,68,2010
591,"Shoshone County, Idaho","13,169","12,376","11,982",21,164,57,6,146,2020
591,"Teton County, Idaho","10,170","10,022","8,709",25,35,48,12,"1,193",2010
592,"Teton County, Idaho","11,630","10,761","9,413",25,77,54,0,"1,192",2020
592,"Twin Falls County, Idaho","77,230","75,475","68,693",342,606,922,83,"4,829",2010
593,"Twin Falls County, Idaho","90,046","82,210","72,215","1,057",934,"1,431",217,"6,356",2020
593,"Valley County, Idaho","9,862","9,720","9,445",11,68,41,1,154,2010
594,"Valley County, Idaho","11,746","11,064","10,597",17,73,61,8,308,2020
594,"Washington County, Idaho","10,198","9,978","8,835",18,101,91,3,930,2010
595,"Washington County, Idaho","10,500","9,592","8,571",22,112,82,7,798,2020
595,"Adams County, Illinois","67,103","66,006","62,868","2,331",111,441,12,243,2010
596,"Adams County, Illinois","65,737","62,520","58,837","2,501",104,513,39,526,2020
596,"Alexander County, Illinois","8,238","8,095","5,018","2,915",26,16,6,114,2010
597,"Alexander County, Illinois","5,240","4,978","3,311","1,617",24,6,0,20,2020
597,"Bond County, Illinois","17,768","17,444","16,143","1,080",92,68,3,58,2010
598,"Bond County, Illinois","16,725","16,051","14,446","1,077",52,105,11,360,2020
598,"Boone County, Illinois","54,165","52,745","45,724","1,064",200,686,23,"5,048",2010
599,"Boone County, Illinois","53,448","47,368","38,766","1,245",498,659,24,"6,176",2020
599,"Brown County, Illinois","6,937","6,894","5,276","1,280",14,16,2,306,2010
600,"Brown County, Illinois","6,244","6,066","4,779","1,054",11,12,0,210,2020
600,"Bureau County, Illinois","34,978","34,527","32,937",212,98,228,6,"1,046",2010
601,"Bureau County, Illinois","33,244","31,192","29,358",275,147,300,21,"1,091",2020
601,"Calhoun County, Illinois","5,089","5,070","5,032",7,9,12,0,10,2010
602,"Calhoun County, Illinois","4,437","4,271","4,227",7,10,7,0,20,2020
602,"Carroll County, Illinois","15,387","15,219","14,906",123,47,53,3,87,2010
603,"Carroll County, Illinois","15,702","15,097","14,117",694,63,40,5,178,2020
603,"Cass County, Illinois","13,642","13,456","11,769",419,38,44,1,"1,185",2010
604,"Cass County, Illinois","13,042","12,134","9,528",725,129,117,41,"1,594",2020
604,"Champaign County, Illinois","201,081","195,559","147,600","24,946",549,"17,969",134,"4,361",2010
605,"Christian County, Illinois","34,800","34,478","33,610",495,51,167,8,147,2010
605,"Champaign County, Illinois","205,865","190,868","129,083","28,675",783,"24,487",84,"7,756",2020
606,"Christian County, Illinois","34,032","32,857","31,437",390,62,179,3,786,2020
606,"Clark County, Illinois","16,335","16,214","16,027",48,25,55,3,56,2010
607,"Clay County, Illinois","13,815","13,704","13,499",47,32,63,0,63,2010
607,"Clark County, Illinois","15,455","15,025","14,784",54,28,60,0,99,2020
608,"Clay County, Illinois","13,288","12,781","12,524",38,40,79,3,97,2020
608,"Clinton County, Illinois","37,762","37,338","35,284","1,338",94,167,13,442,2010
609,"Coles County, Illinois","53,873","53,054","50,029","2,067",104,531,13,310,2010
609,"Clinton County, Illinois","36,899","35,317","33,085","1,151",106,180,5,790,2020
610,"Cook County, Illinois","5,194,675","5,062,905","2,877,212","1,287,767","21,559","322,672","1,724","551,971",2010
610,"Coles County, Illinois","46,863","44,597","40,838","2,083",114,623,26,913,2020
611,"Crawford County, Illinois","19,817","19,636","18,381",934,48,103,8,162,2010
611,"Cook County, Illinois","5,275,541","4,728,989","2,345,983","1,205,824","56,894","413,271","1,864","705,153",2020
612,"Crawford County, Illinois","18,679","18,050","17,032",621,44,85,2,266,2020
612,"Cumberland County, Illinois","11,048","10,962","10,856",38,17,27,0,24,2010
613,"DeKalb County, Illinois","105,160","103,062","89,453","6,732",267,"2,438",23,"4,149",2010
613,"Cumberland County, Illinois","10,450","10,092","9,984",28,22,23,5,30,2020
614,"De Witt County, Illinois","16,561","16,368","16,035",87,26,60,4,156,2010
614,"DeKalb County, Illinois","100,420","91,702","74,258","8,954",553,"2,299",29,"5,609",2020
615,"De Witt County, Illinois","15,516","14,941","14,526",110,28,40,18,219,2020
615,"Douglas County, Illinois","19,980","19,749","19,113",58,34,83,0,461,2010
616,"Douglas County, Illinois","19,740","18,871","17,855",67,60,105,7,777,2020
616,"DuPage County, Illinois","916,924","896,528","714,140","42,346","2,415","92,304",217,"45,106",2010
617,"DuPage County, Illinois","932,877","850,219","616,830","45,516","5,154","119,672",315,"62,732",2020
617,"Edgar County, Illinois","18,576","18,446","18,268",64,25,33,4,52,2010
618,"Edgar County, Illinois","16,866","16,346","16,070",83,34,55,0,104,2020
618,"Edwards County, Illinois","6,721","6,666","6,584",30,9,22,0,21,2010
619,"Edwards County, Illinois","6,245","6,099","6,019",22,8,21,9,20,2020
619,"Effingham County, Illinois","34,242","33,963","33,429",79,39,147,7,262,2010
620,"Effingham County, Illinois","34,668","33,392","32,597",155,59,248,6,327,2020
620,"Fayette County, Illinois","22,140","21,914","20,750",980,35,51,4,94,2010
621,"Fayette County, Illinois","21,488","20,910","19,778",797,82,67,1,185,2020
621,"Ford County, Illinois","14,081","13,922","13,677",85,33,37,0,90,2010
622,"Ford County, Illinois","13,534","12,849","12,458",76,32,62,0,221,2020
622,"Franklin County, Illinois","39,561","39,119","38,641",123,104,124,3,124,2010
623,"Fulton County, Illinois","37,069","36,735","34,625","1,269",131,112,2,596,2010
623,"Franklin County, Illinois","37,804","36,066","35,451",181,111,119,4,200,2020
624,"Gallatin County, Illinois","5,589","5,524","5,473",12,14,5,0,20,2010
624,"Fulton County, Illinois","33,609","32,541","30,803","1,125",63,69,6,475,2020
625,"Greene County, Illinois","13,886","13,787","13,588",119,23,16,2,39,2010
625,"Gallatin County, Illinois","4,946","4,777","4,700",26,5,24,0,22,2020
626,"Grundy County, Illinois","50,063","49,330","46,933",605,114,327,15,"1,336",2010
626,"Greene County, Illinois","11,985","11,589","11,492",23,13,22,3,36,2020
627,"Hamilton County, Illinois","8,457","8,398","8,305",31,20,19,1,22,2010
627,"Grundy County, Illinois","52,533","48,442","45,106",865,185,482,26,"1,778",2020
628,"Hamilton County, Illinois","7,993","7,696","7,601",41,16,13,0,25,2020
628,"Hancock County, Illinois","19,104","18,928","18,723",52,40,46,11,56,2010
629,"Hardin County, Illinois","4,320","4,285","4,205",13,26,22,5,14,2010
629,"Hancock County, Illinois","17,620","16,990","16,683",73,51,61,4,118,2020
630,"Hardin County, Illinois","3,649","3,466","3,414",13,0,18,4,17,2020
630,"Henderson County, Illinois","7,331","7,261","7,198",15,15,15,5,13,2010
631,"Henderson County, Illinois","6,387","6,183","6,092",30,12,17,5,27,2020
631,"Henry County, Illinois","50,486","49,754","47,846",796,93,191,14,814,2010
632,"Henry County, Illinois","49,284","46,601","43,920","1,078",109,197,16,"1,281",2020
632,"Iroquois County, Illinois","29,718","29,323","28,155",233,51,103,2,779,2010
633,"Iroquois County, Illinois","27,077","25,393","24,203",231,66,103,2,788,2020
633,"Jackson County, Illinois","60,218","58,625","46,875","8,589",227,"1,910",32,992,2010
634,"Jackson County, Illinois","52,974","49,502","38,171","7,598",208,"2,056",31,"1,438",2020
634,"Jasper County, Illinois","9,698","9,640","9,564",11,13,24,2,26,2010
635,"Jasper County, Illinois","9,287","9,072","8,968",23,22,17,4,38,2020
635,"Jefferson County, Illinois","38,827","38,203","34,315","3,251",85,246,7,299,2010
636,"Jefferson County, Illinois","37,113","35,089","31,440","2,842",92,365,7,343,2020
636,"Jersey County, Illinois","22,985","22,713","22,431",93,60,77,6,46,2010
637,"Jersey County, Illinois","21,512","20,552","20,209",157,23,77,3,83,2020
637,"Jo Daviess County, Illinois","22,678","22,475","22,046",107,45,72,11,194,2010
638,"Jo Daviess County, Illinois","22,035","21,189","20,574",114,67,99,6,329,2020
638,"Johnson County, Illinois","12,582","12,456","11,197","1,006",29,22,1,201,2010
639,"Johnson County, Illinois","13,308","12,877","10,978","1,431",28,20,4,416,2020
639,"Kane County, Illinois","515,269","501,763","384,548","29,422","2,887","17,895",193,"66,818",2010
640,"Kane County, Illinois","516,522","449,781","309,835","27,538","6,997","21,634",217,"83,560",2020
640,"Kankakee County, Illinois","113,449","111,047","87,986","17,187",286,"1,052",34,"4,502",2010
641,"Kankakee County, Illinois","107,502","99,724","76,327","15,573",432,"1,090",23,"6,279",2020
641,"Kendall County, Illinois","114,736","112,060","95,891","6,585",316,"3,467",33,"5,768",2010
642,"Knox County, Illinois","52,919","51,613","46,329","3,810",104,338,9,"1,023",2010
642,"Kendall County, Illinois","131,869","116,480","90,245","10,027",742,"4,700",24,"10,742",2020
643,"Knox County, Illinois","49,967","46,760","40,664","4,457",117,363,18,"1,141",2020
643,"Lake County, Illinois","703,462","685,176","528,204","49,033","3,279","44,358",294,"60,008",2010
644,"LaSalle County, Illinois","113,924","112,278","106,187","2,186",289,762,16,"2,838",2010
644,"Lake County, Illinois","714,342","637,952","435,395","49,035","7,112","59,390",440,"86,580",2020
645,"Lawrence County, Illinois","16,833","16,662","14,696","1,608",38,38,2,280,2010
645,"LaSalle County, Illinois","109,658","101,803","93,847","2,633",446,860,18,"3,999",2020
646,"Lawrence County, Illinois","15,280","14,736","12,885","1,406",18,58,8,361,2020
646,"Lee County, Illinois","36,031","35,503","32,745","1,735",74,246,10,693,2010
647,"Lee County, Illinois","34,145","32,257","29,109","1,867",88,248,10,935,2020
647,"Livingston County, Illinois","38,950","38,452","35,752","1,915",67,199,1,518,2010
648,"Logan County, Illinois","30,305","29,913","27,008","2,285",60,184,5,371,2010
648,"Livingston County, Illinois","35,815","34,181","32,068","1,113",77,171,1,751,2020
649,"McDonough County, Illinois","32,612","32,012","29,476","1,642",75,580,2,237,2010
649,"Logan County, Illinois","27,987","26,858","24,669","1,520",50,181,1,437,2020
650,"McHenry County, Illinois","308,760","303,560","278,257","3,283",939,"7,807",80,"13,194",2010
650,"McDonough County, Illinois","27,238","25,923","23,330","1,531",58,567,6,431,2020
651,"McHenry County, Illinois","310,229","282,016","247,894","4,284","1,534","8,803",61,"19,440",2020
651,"McLean County, Illinois","169,572","165,634","142,940","12,426",383,"7,227",55,"2,603",2010
652,"Macon County, Illinois","110,768","108,014","87,855","18,027",226,"1,118",32,756,2010
652,"McLean County, Illinois","170,954","160,145","132,148","14,996",483,"8,142",62,"4,314",2020
653,"Macoupin County, Illinois","47,765","47,339","46,596",359,126,129,11,118,2010
653,"Macon County, Illinois","103,998","97,882","75,809","19,047",237,"1,515",36,"1,238",2020
654,"Madison County, Illinois","269,282","264,323","237,641","21,235",659,"2,254",107,"2,427",2010
654,"Macoupin County, Illinois","44,967","42,885","42,082",369,120,179,0,135,2020
655,"Madison County, Illinois","265,859","248,996","216,458","24,892",787,"2,754",94,"4,011",2020
655,"Marion County, Illinois","39,437","38,811","36,734","1,557",122,224,9,165,2010
656,"Marshall County, Illinois","12,640","12,521","12,271",44,22,45,2,137,2010
656,"Marion County, Illinois","37,729","35,666","33,440","1,514",116,349,4,243,2020
657,"Mason County, Illinois","14,666","14,531","14,382",54,36,40,0,19,2010
657,"Marshall County, Illinois","11,742","11,237","10,965",88,32,43,0,109,2020
658,"Massac County, Illinois","15,429","15,113","14,033",904,62,42,0,72,2010
658,"Mason County, Illinois","13,086","12,570","12,423",51,24,28,1,43,2020
659,"Massac County, Illinois","14,169","13,326","12,179",887,37,44,6,173,2020
659,"Menard County, Illinois","12,705","12,569","12,383",76,32,30,2,46,2010
660,"Mercer County, Illinois","16,434","16,312","16,153",47,17,52,1,42,2010
660,"Menard County, Illinois","12,297","11,749","11,555",84,20,50,2,38,2020
661,"Monroe County, Illinois","32,957","32,685","32,287",69,67,144,7,111,2010
661,"Mercer County, Illinois","15,699","14,993","14,763",77,30,37,2,84,2020
662,"Montgomery County, Illinois","30,104","29,898","28,632",952,47,111,11,145,2010
662,"Monroe County, Illinois","34,962","33,405","32,855",119,68,186,2,175,2020
663,"Montgomery County, Illinois","28,288","27,248","25,872",926,64,135,9,242,2020
663,"Morgan County, Illinois","35,547","34,969","32,321","2,122",78,168,7,273,2010
664,"Moultrie County, Illinois","14,846","14,756","14,622",41,28,31,0,34,2010
664,"Morgan County, Illinois","32,915","31,489","28,786","1,983",68,270,16,366,2020
665,"Ogle County, Illinois","53,497","52,740","49,867",483,111,250,14,"2,015",2010
665,"Moultrie County, Illinois","14,526","14,060","13,815",84,26,49,1,85,2020
666,"Peoria County, Illinois","186,494","181,230","138,800","33,030",526,"5,856",62,"2,956",2010
666,"Ogle County, Illinois","51,788","47,999","44,519",578,279,263,1,"2,359",2020
667,"Peoria County, Illinois","181,830","170,074","122,629","34,015",550,"7,779",66,"5,035",2020
667,"Perry County, Illinois","22,350","22,037","19,656","1,866",55,87,8,365,2010
668,"Piatt County, Illinois","16,729","16,572","16,393",58,29,51,6,35,2010
668,"Perry County, Illinois","20,945","20,163","17,919","1,681",44,126,1,392,2020
669,"Pike County, Illinois","16,430","16,314","15,928",275,28,38,7,38,2010
669,"Piatt County, Illinois","16,673","15,971","15,692",83,24,84,1,87,2020
670,"Pope County, Illinois","4,470","4,431","4,098",269,29,11,1,23,2010
670,"Pike County, Illinois","14,739","14,234","13,969",73,38,43,7,104,2020
671,"Pope County, Illinois","3,763","3,599","3,513",43,7,19,0,17,2020
671,"Pulaski County, Illinois","6,161","6,042","3,965","1,994",26,13,3,41,2010
672,"Putnam County, Illinois","6,006","5,937","5,803",32,6,13,1,82,2010
